Fabric,Translate,Frequency
cotton,cotton,1238
nylon,nylon,696
spandex,spandex,1013
polyurethane,polyester,59
viscose,rayon,1213
rayon,rayon,557
silk,silk,498
linen,linen,134
polyester,polyester,3496
elastane,spandex,777
tencel_modal,tencel,1
polyster,polyester,3
polyamide,nylon,282
metallic,metallic_fibers,66
acetate,rayon,59
tencel,tencel,32
sp,spandex,5
lyocell,rayon,18
wool,wool,154
metallic_fibers,metallic_fibers,15
modal,tencel,27
polyamine,polyester,1
polyamide-nylon,polyester,1
elastance,spandex,1
ramie,linen,6
lurex,metallic_fibers,19
poly,polyester,4
model,tencel,1
cupro,cotton,16
bamboo,polyester,3
acrylic,polyester,65
lycra,spandex,31
triacetate,cellulose,68
leather,leather,1
elasthane,spandex,4
polyester.,polyester,6
filming,nylon,2
hemp,linen,2
polyethylene,polyester,3
denim,cotton,1
cashmere,cashmere,12
woven,wool,1
merino,wool,2
polyamid,polyester,12
pbt,polyester,1
elastomultiester,spandex,1
tweed,wool,1
lambswool,wool,2
rayone,rayon,1
cotton.,cotton,2
polyeyster,polyester,1
chiffon,silk,2
spandex.,spandex,3
poleyster,polyester,3
polyetser,polyester,3
elastic,spandex,3
polyeter,polyester,2
spanex,spandex,2
nylon.,nylon,1
faille,silk,1
ecoveroâ„¢,rayon,1
polaymide,polyester,4
other_fibers,metallic_fibers,4
sorona,spandex,1
nylone,nylon,2
sik,silk,1
polymide,polyester,2
polyesester,polyester,1
lace,cotton,2
georgette,silk,4
bambo,polyester,1
viscose-rayon,rayon,1
viscoe,rayon,1
viscose;,rayon,1
base,polyester,2
metal,metallic_fibers,1
polyacrylic,polyester,2
pu,polyester,1
polyutherane,polyester,1
polymetallic,polyester,1
triacectate,cellulose,1
vicose,rayon,3
polyestert,polyester,1
chinlon,nylon,1
poliammidica,polyester,1
metallique,metallic_fibers,1
elastomer,nylon,1
refibra,cotton,1
polyeste,polyester,1
polbutylene,polyester,1
elastane-spandex,spandex,1
polyurethene,polyester,1
embroidery,cotton,1
sapndex,spandex,1
jacquard,cotton,1
Polyester,polyester,1
Elastane,spandex,1
polybutylene,polyester,1
yarn,cotton,1
anglais,cotton,1
acryllic,polyester,1
synthetic,polyester,2
enka,cellulose,1
viscose.,rayon,1
triacate,cellulose,1
tulle,silk,1
nylon14,nylon,1
laine,wool,2
polyacrilic,polyester,1
terylen,polyester,1
other,polyester,1
lambskin,leather,1
semi-synthetic,polyester,1
aryclic,polyester,1
mylar,polyester,1
rayon;,rayon,1
mop-acrylic,polyester,1
satin,silk,1
triacteate,cellulose,1
triactetate,cellulose,1
silk.,silk,1
